id,submitted,updated,title,abstract,authors,affiliations,link_abstract,link_pdf,link_doi,comment,journal_ref,doi,primary_category,categories,pdf_url
2602.06900v1,2026-02-06T17:50:00Z,2026-02-06 17:50:00,Supercharging Simulation-Based Inference for Bayesian Optimal Experimental Design,"Bayesian optimal experimental design (BOED) seeks to maximize the expected information gain (EIG) of experiments. This requires a likelihood estimate, which in many settings is intractable. Simulation-based inference (SBI) provides powerful tools for this regime. However, existing work explicitly connecting SBI and BOED is restricted to a single contrastive EIG bound. We show that the EIG admits multiple formulations which can directly leverage modern SBI density estimators, encompassing neural posterior, likelihood, and ratio estimation. Building on this perspective, we define a novel EIG estimator using neural likelihood estimation. Further, we identify optimization as a key bottleneck of gradient based EIG maximization and show that a simple multi-start parallel gradient ascent procedure can substantially improve reliability and performance. With these innovations, our SBI-based BOED methods are able to match or outperform by up to $22\%$ existing state-of-the-art approaches across standard BOED benchmarks.",Samuel Klein|Willie Neiswanger|Daniel Ratner|Michael Kagan|Sean Gasiorowski,,https://arxiv.org/abs/2602.06900v1,https://arxiv.org/pdf/2602.06900v1,,,,,cs.LG,cs.LG|cs.AI|cs.IT|cs.NE|stat.ML,https://arxiv.org/pdf/2602.06900v1.pdf
2602.05340v1,2026-02-05T06:06:07Z,2026-02-05 06:06:07,Decision-Focused Sequential Experimental Design: A Directional Uncertainty-Guided Approach,"We consider the sequential experimental design problem in the predict-then-optimize paradigm. In this paradigm, the outputs of the prediction model are used as coefficient vectors in a downstream linear optimization problem. Traditional sequential experimental design aims to control the input variables (features) so that the improvement in prediction accuracy from each experimental outcome (label) is maximized. However, in the predict-then-optimize setting, performance is ultimately evaluated based on the decision loss induced by the downstream optimization, rather than by prediction error. This mismatch between prediction accuracy and decision loss renders traditional decision-blind designs inefficient. To address this issue, we propose a directional-based metric to quantify predictive uncertainty. This metric does not require solving an optimization oracle and is therefore computationally tractable. We show that the resulting sequential design criterion enjoys strong consistency and convergence guarantees. Under a broad class of distributions, we demonstrate that our directional uncertainty-based design attains an earlier stopping time than decision-blind designs. This advantage is further supported by real-world experiments on an LLM job allocation problem.",Beichen Wan|Mo Liu|Paul Grigas|Zuo-Jun Max Shen,,https://arxiv.org/abs/2602.05340v1,https://arxiv.org/pdf/2602.05340v1,,,,,stat.ML,stat.ML|cs.LG,https://arxiv.org/pdf/2602.05340v1.pdf
2601.21036v1,2026-01-28T20:57:51Z,2026-01-28 20:57:51,Experimental Design for Matching,"Matching mechanisms play a central role in operations management across diverse fields including education, healthcare, and online platforms. However, experimentally comparing a new matching algorithm against a status quo presents some fundamental challenges due to matching interference, where assigning a unit in one matching may preclude its assignment in the other. In this work, we take a design-based perspective to study the design of randomized experiments to compare two predetermined matching plans on a finite population, without imposing outcome or behavioral models. We introduce the notation of a disagreement set, which captures the difference between the two matching plans, and show that it admits a unique decomposition into disjoint alternating paths and cycles with useful structural properties. Based on these properties, we propose the Alternating Path Randomized Design, which sequentially randomizes along these paths and cycles to effectively manage interference. Within a minimax framework, we optimize the conditional randomization probability and show that, for long paths, the optimal choice converges to $\sqrt{2}-1$, minimizing worst-case variance. We establish the unbiasedness of the Horvitz-Thompson estimator and derive a finite-population Central Limit Theorem that accommodates complex and unstable path and cycle structures as the population grows. Furthermore, we extend the design to many-to-one matchings, where capacity constraints fundamentally alter the structure of the disagreement set. Using graph-theoretic tools, including finding augmenting paths and Euler-tour decomposition on an auxiliary unbalanced directed graph, we construct feasible alternating path and cycle decompositions that allow the design and inference results to carry over.",Chonghuan Wang,,https://arxiv.org/abs/2601.21036v1,https://arxiv.org/pdf/2601.21036v1,,,,,stat.ME,stat.ME|econ.EM|eess.SY,https://arxiv.org/pdf/2601.21036v1.pdf
2601.17587v1,2026-01-24T20:57:27Z,2026-01-24 20:57:27,Discovery of Feasible 3D Printing Configurations for Metal Alloys via AI-driven Adaptive Experimental Design,"Configuring the parameters of additive manufacturing processes for metal alloys is a challenging problem due to complex relationships between input parameters (e.g., laser power, scan speed) and quality of printed outputs. The standard trial-and-error approach to find feasible parameter configurations is highly inefficient because validating each configuration is expensive in terms of resources (physical and human labor) and the configuration space is very large. This paper combines the general principles of AI-driven adaptive experimental design with domain knowledge to address the challenging problem of discovering feasible configurations. The key idea is to build a surrogate model from past experiments to intelligently select a small batch of input configurations for validation in each iteration. To demonstrate the effectiveness of this methodology, we deploy it for Directed Energy Deposition process to print GRCop--42, a high-performance copper--chromium--niobium alloy developed by NASA for aerospace applications. Within three months, our approach yielded multiple defect-free outputs across a range of laser powers dramatically reducing time to result and resource expenditure compared to several months of manual experimentation by domain scientists with no success. By enabling high-quality GRCop--42 fabrication on readily available infrared laser platforms for the first time, we democratize access to this critical alloy, paving the way for cost-effective, decentralized production for aerospace applications.",Azza Fadhel|Nathaniel W. Zuckschwerdt|Aryan Deshwal|Susmita Bose|Amit Bandyopadhyay|Jana Doppa,,https://arxiv.org/abs/2601.17587v1,https://arxiv.org/pdf/2601.17587v1,,Proceedings of Innovative Applications of AI (IAAI) 2026 Conference,,,cs.AI,cs.AI|cs.LG,https://arxiv.org/pdf/2601.17587v1.pdf
2601.16431v1,2026-01-23T04:11:01Z,2026-01-23 04:11:01,Sequential Experimental Designs for Kriging Model,"Computer experiments have become an indispensable alternative to complex physical and engineering experiments. The Kriging model is the most widely used surrogate model, with the core goal of minimizing the discrepancy between the surrogate and true models across the entire experimental domain. However, existing sequential design methods have critical limitations: observation-based batch sequential designs are rarely studied, while one-point sequential designs have insufficient information utilization and suffer from inefficient resource utilization -- they require numerous repeated observation rounds to accumulate sufficient points, leading to prolonged experimental cycles. To address these gaps, this paper proposes two novel one-point sequential design criteria and a general batch sequential design framework. Moreover, the batch sequential design framework solves the inherent point clustering problem in naive batch selection, enabling efficient extension of any sequential criterion to batch scenarios. Simulations on some test functions demonstrate that the proposed methods outperform existing approaches in terms of fitting accuracy in most cases.",Ruonan Zheng|Min-Qian Liu|Yongdao Zhou|Xuan Chen,,https://arxiv.org/abs/2601.16431v1,https://arxiv.org/pdf/2601.16431v1,,"24pages, 5figures",,,stat.ME,stat.ME,https://arxiv.org/pdf/2601.16431v1.pdf
2601.16425v1,2026-01-23T03:34:10Z,2026-01-23 03:34:10,Bayesian Experimental Design for Model Discrepancy Calibration: A Rivalry between Kullback--Leibler Divergence and Wasserstein Distance,"Designing experiments that systematically gather data from complex physical systems is central to accelerating scientific discovery. While Bayesian experimental design (BED) provides a principled, information-based framework that integrates experimental planning with probabilistic inference, the selection of utility functions in BED is a long-standing and active topic, where different criteria emphasize different notions of information. Although Kullback--Leibler (KL) divergence has been one of the most common choices, recent studies have proposed Wasserstein distance as an alternative. In this work, we first employ a toy example to illustrate an issue of Wasserstein distance - the value of Wasserstein distance of a fixed-shape posterior depends on the relative position of its main mass within the support and can exhibit false rewards unrelated to information gain, especially with a non-informative prior (e.g., uniform distribution). We then further provide a systematic comparison between these two criteria through a classical source inversion problem in the BED literature, revealing that the KL divergence tends to lead to faster convergence in the absence of model discrepancy, while Wasserstein metrics provide more robust sequential BED results if model discrepancy is non-negligible. These findings clarify the trade-offs between KL divergence and Wasserstein metrics for the utility function and provide guidelines for selecting suitable criteria in practical BED applications.",Huchen Yang|Xinghao Dong|Jin-Long Wu,,https://arxiv.org/abs/2601.16425v1,https://arxiv.org/pdf/2601.16425v1,,,,,cs.LG,cs.LG,https://arxiv.org/pdf/2601.16425v1.pdf
2601.11473v1,2026-01-16T17:58:16Z,2026-01-16 17:58:16,A Probabilistic Approach to Trajectory-Based Optimal Experimental Design,"We present a novel probabilistic approach for optimal path experimental design. In this approach a discrete path optimization problem is defined on a static navigation mesh, and trajectories are modeled as random variables governed by a parametric Markov policy. The discrete path optimization problem is then replaced with an equivalent stochastic optimization problem over the policy parameters, resulting in an optimal probability model that samples estimates of the optimal discrete path. This approach enables exploration of the utility function's distribution tail and treats the utility function of the design as a black box, making it applicable to linear and nonlinear inverse problems and beyond experimental design. Numerical verification and analysis are carried out by using a parameter identification problem widely used in model-based optimal experimental design.",Ahmed Attia,,https://arxiv.org/abs/2601.11473v1,https://arxiv.org/pdf/2601.11473v1,,"42 Figures, this version includes supplementary material as appendices",,,math.OC,math.OC|cs.LG,https://arxiv.org/pdf/2601.11473v1.pdf
2601.05868v1,2026-01-09T15:44:49Z,2026-01-09 15:44:49,Sequential Bayesian Optimal Experimental Design in Infinite Dimensions via Policy Gradient Reinforcement Learning,"Sequential Bayesian optimal experimental design (SBOED) for PDE-governed inverse problems is computationally challenging, especially for infinite-dimensional random field parameters. High-fidelity approaches require repeated forward and adjoint PDE solves inside nested Bayesian inversion and design loops. We formulate SBOED as a finite-horizon Markov decision process and learn an amortized design policy via policy-gradient reinforcement learning (PGRL), enabling online design selection from the experiment history without repeatedly solving an SBOED optimization problem. To make policy training and reward evaluation scalable, we combine dual dimension reduction -- active subspace projection for the parameter and principal component analysis for the state -- with an adjusted derivative-informed latent attention neural operator (LANO) surrogate that predicts both the parameter-to-solution map and its Jacobian. We use a Laplace-based D-optimality reward while noting that, in general, other expected-information-gain utilities such as KL divergence can also be used within the same framework. We further introduce an eigenvalue-based evaluation strategy that uses prior samples as proxies for maximum a posteriori (MAP) points, avoiding repeated MAP solves while retaining accurate information-gain estimates. Numerical experiments on sequential multi-sensor placement for contaminant source tracking demonstrate approximately $100\times$ speedup over high-fidelity finite element methods, improved performance over random sensor placements, and physically interpretable policies that discover an ``upstream'' tracking strategy.",Kaichen Shen|Peng Chen,,https://arxiv.org/abs/2601.05868v1,https://arxiv.org/pdf/2601.05868v1,,,,,math.OC,math.OC|cs.LG,https://arxiv.org/pdf/2601.05868v1.pdf
2601.04557v1,2026-01-08T03:36:15Z,2026-01-08 03:36:15,The explicit constraint force method for optimal experimental design,"The explicit constraint force method (ECFM) was recently introduced as a novel formulation of the physics-informed solution reconstruction problem, and was subsequently extended to inverse problems. In both solution reconstruction and inverse problems, model parameters are estimated with the help of measurement data. In practice, experimentalists seek to design experiments such that the acquired data leads to the most robust recovery of the missing parameters in a subsequent inverse problem. While there are well-established techniques for designing experiments with standard approaches to the inverse problem, optimal experimental design (OED) has yet to be explored with the ECFM formulation. In this work, we investigate OED with a constraint force objective. First, we review traditional approaches to OED based on the Fisher information matrix, and propose an analogous formulation based on constraint forces. Next, we reflect on the different interpretations of the objective from standard and constraint force-based inverse problems. We then test our method on several example problems. These examples suggest that an experiment which is optimal in the sense of constraint forces tends to position measurements in the stiffest regions of the system. Because the responses -- and thus the measurements -- are small in these regions, this strategy is impractical in the presence of measurement noise and/or finite measurement precision. As such, our provisional conclusion is that ECFM is not a viable approach to OED.",Conor Rowan,,https://arxiv.org/abs/2601.04557v1,https://arxiv.org/pdf/2601.04557v1,,,,,math.NA,math.NA,https://arxiv.org/pdf/2601.04557v1.pdf
2512.23763v2,2025-12-28T22:26:18Z,2026-01-06 22:09:07,Neural Optimal Design of Experiment for Inverse Problems,"We introduce Neural Optimal Design of Experiments, a learning-based framework for optimal experimental design in inverse problems that avoids classical bilevel optimization and indirect sparsity regularization. NODE jointly trains a neural reconstruction model and a fixed-budget set of continuous design variables representing sensor locations, sampling times, or measurement angles, within a single optimization loop. By optimizing measurement locations directly rather than weighting a dense grid of candidates, the proposed approach enforces sparsity by design, eliminates the need for l1 tuning, and substantially reduces computational complexity. We validate NODE on an analytically tractable exponential growth benchmark, on MNIST image sampling, and illustrate its effectiveness on a real world sparse view X ray CT example. In all cases, NODE outperforms baseline approaches, demonstrating improved reconstruction accuracy and task-specific performance.",John E. Darges|Babak Maboudi Afkham|Matthias Chung,,https://arxiv.org/abs/2512.23763v2,https://arxiv.org/pdf/2512.23763v2,,,,,cs.LG,cs.LG|stat.ML,https://arxiv.org/pdf/2512.23763v2.pdf
