id,submitted,updated,title,abstract,authors,affiliations,link_abstract,link_pdf,link_doi,comment,journal_ref,doi,primary_category,categories,pdf_url
2602.10144v1,2026-02-09T10:45:13Z,2026-02-09 10:45:13,When LLMs get significantly worse: A statistical approach to detect model degradations,"Minimizing the inference cost and latency of foundation models has become a crucial area of research. Optimization approaches include theoretically lossless methods and others without accuracy guarantees like quantization. In all of these cases it is crucial to ensure that the model quality has not degraded. However, even at temperature zero, model generations are not necessarily robust even to theoretically lossless model optimizations due to numerical errors. We thus require statistical tools to decide whether a finite-sample accuracy deviation is an evidence of a model's degradation or whether it can be attributed to (harmless) noise in the evaluation. We propose a statistically sound hypothesis testing framework based on McNemar's test allowing to efficiently detect model degradations, while guaranteeing a controlled rate of false positives. The crucial insight is that we have to confront the model scores on each sample, rather than aggregated on the task level. Furthermore, we propose three approaches to aggregate accuracy estimates across multiple benchmarks into a single decision. We provide an implementation on top of the largely adopted open source LM Evaluation Harness and provide a case study illustrating that the method correctly flags degraded models, while not flagging model optimizations that are provably lossless. We find that with our tests even empirical accuracy degradations of 0.3% can be confidently attributed to actual degradations rather than noise.",Jonas Kübler|Kailash Budhathoki|Matthäus Kleindessner|Xiong Zhou|Junming Yin|Ashish Khetan|George Karypis,,https://arxiv.org/abs/2602.10144v1,https://arxiv.org/pdf/2602.10144v1,,https://openreview.net/forum?id=cM3gsqEI4K,ICLR 2026,,stat.ML,stat.ML|cs.AI|cs.LG,https://arxiv.org/pdf/2602.10144v1.pdf
2602.07170v1,2026-02-06T20:12:45Z,2026-02-06 20:12:45,Bayesian Dynamic Gamma Models for Route-Level Travel Time Reliability,"Route-level travel time reliability requires characterizing the distribution of total travel time across correlated segments -- a problem where existing methods either assume independence (fast but miscalibrated) or model dependence via copulas and simulation (accurate but expensive). We propose a conjugate Bayesian dynamic Gamma model with a common random environment that resolves this trade-off. Each segment's travel time follows a Gamma distribution conditional on a shared latent environment process that evolves as a Markov chain, inducing cross-segment dependence while preserving conditional independence. A moment-matching approximation yields a closed-form $F$-distribution for route travel time, from which the Planning Time Index, Buffer Index, and on-time probability are computed instantly -- at the same $O(1)$ cost as independence-based methods. The conjugate structure ensures that Bayesian posterior updates and the full predictive distribution are available in closed form as new sensor data arrives. Applied to 16 sensors spanning 8.26 miles on I-55 in Chicago, the model achieves 95.4% coverage of nominal 90\% predictive intervals versus 34--37% for independence-based convolution, at identical computational cost.",Vadim Sokolov|Refik Soyer,,https://arxiv.org/abs/2602.07170v1,https://arxiv.org/pdf/2602.07170v1,,,,,stat.AP,stat.AP,https://arxiv.org/pdf/2602.07170v1.pdf
2602.05082v1,2026-02-04T22:04:07Z,2026-02-04 22:04:07,Reliable Explanations or Random Noise? A Reliability Metric for XAI,"In recent years, explaining decisions made by complex machine learning models has become essential in high-stakes domains such as energy systems, healthcare, finance, and autonomous systems. However, the reliability of these explanations, namely, whether they remain stable and consistent under realistic, non-adversarial changes, remains largely unmeasured. Widely used methods such as SHAP and Integrated Gradients (IG) are well-motivated by axiomatic notions of attribution, yet their explanations can vary substantially even under system-level conditions, including small input perturbations, correlated representations, and minor model updates. Such variability undermines explanation reliability, as reliable explanations should remain consistent across equivalent input representations and small, performance-preserving model changes. We introduce the Explanation Reliability Index (ERI), a family of metrics that quantifies explanation stability under four reliability axioms: robustness to small input perturbations, consistency under feature redundancy, smoothness across model evolution, and resilience to mild distributional shifts. For each axiom, we derive formal guarantees, including Lipschitz-type bounds and temporal stability results. We further propose ERI-T, a dedicated measure of temporal reliability for sequential models, and introduce ERI-Bench, a benchmark designed to systematically stress-test explanation reliability across synthetic and real-world datasets. Experimental results reveal widespread reliability failures in popular explanation methods, showing that explanations can be unstable under realistic deployment conditions. By exposing and quantifying these instabilities, ERI enables principled assessment of explanation reliability and supports more trustworthy explainable AI (XAI) systems.",Poushali Sengupta|Sabita Maharjan|Frank Eliassen|Shashi Raj Pandey|Yan Zhang,,https://arxiv.org/abs/2602.05082v1,https://arxiv.org/pdf/2602.05082v1,,,,,cs.LG,cs.LG|cs.AI|stat.ML,https://arxiv.org/pdf/2602.05082v1.pdf
2602.02875v1,2026-02-02T22:33:07Z,2026-02-02 22:33:07,Shiha Distribution: Statistical Properties and Applications to Reliability Engineering and Environmental Data,"This paper introduces a new two-parameter distribution, referred to as the Shiha distribution, which provides a flexible model for skewed lifetime data with either heavy or light tails. The proposed distribution is applicable to various fields, including reliability engineering, environmental studies, and related areas. We derive its main statistical properties, including the moment generating function, moments, hazard rate function, quantile function, and entropy. The stress--strength reliability parameter is also derived in closed form. A simulation study is conducted to evaluate its performance. Applications to several real data sets demonstrate that the Shiha distribution consistently provides a superior fit compared with established competing models, confirming its practical effectiveness for lifetime data analysis.",F. A. Shiha,,https://arxiv.org/abs/2602.02875v1,https://arxiv.org/pdf/2602.02875v1,,,,,stat.ME,stat.ME|math.ST,https://arxiv.org/pdf/2602.02875v1.pdf
2602.02432v1,2026-02-02T18:31:58Z,2026-02-02 18:31:58,Maximizing Reliability with Bayesian Optimization,"Bayesian optimization (BO) is a popular, sample-efficient technique for expensive, black-box optimization. One such problem arising in manufacturing is that of maximizing the reliability, or equivalently minimizing the probability of a failure, of a design which is subject to random perturbations - a problem that can involve extremely rare failures ($P_\mathrm{fail} = 10^{-6}-10^{-8}$). In this work, we propose two BO methods based on Thompson sampling and knowledge gradient, the latter approximating the one-step Bayes-optimal policy for minimizing the logarithm of the failure probability. Both methods incorporate importance sampling to target extremely small failure probabilities. Empirical results show the proposed methods outperform existing methods in both extreme and non-extreme regimes.",Jack M. Buckingham|Ivo Couckuyt|Juergen Branke,,https://arxiv.org/abs/2602.02432v1,https://arxiv.org/pdf/2602.02432v1,,"25 pages, 9 figures",,,cs.LG,cs.LG|math.OC|stat.ML,https://arxiv.org/pdf/2602.02432v1.pdf
2602.01929v1,2026-02-02T10:29:30Z,2026-02-02 10:29:30,Probabilistic function-on-function nonlinear autoregressive model for emulation and reliability analysis of dynamical systems,"Constructing accurate and computationally efficient surrogate models (or emulators) for predicting dynamical system responses is critical in many engineering domains, yet remains challenging due to the strongly nonlinear and high-dimensional mapping from external excitations and system parameters to system responses. This work introduces a novel Function-on-Function Nonlinear AutoRegressive model with eXogenous inputs (F2NARX), which reformulates the conventional NARX model from a function-on-function regression perspective, inspired by the recently proposed $\mathcal{F}$-NARX method. The proposed framework substantially improves predictive efficiency while maintaining high accuracy. By combining principal component analysis with Gaussian process regression, F2NARX further enables probabilistic predictions of dynamical responses via the unscented transform in an autoregressive manner. The effectiveness of the method is demonstrated through case studies of varying complexity. Results show that F2NARX outperforms state-of-the-art NARX model by orders of magnitude in efficiency while achieving higher accuracy in general. Moreover, its probabilistic prediction capabilities facilitate active learning, enabling accurate estimation of first-passage failure probabilities of dynamical systems using only a small number of training time histories.",Zhouzhou Song|Marcos A. Valdebenito|Styfen Schär|Stefano Marelli|Bruno Sudret|Matthias G. R. Faes,,https://arxiv.org/abs/2602.01929v1,https://arxiv.org/pdf/2602.01929v1,,,,,math.DS,math.DS|stat.CO|stat.ML,https://arxiv.org/pdf/2602.01929v1.pdf
2602.01912v1,2026-02-02T10:18:31Z,2026-02-02 10:18:31,Reliable Real-Time Value at Risk Estimation via Quantile Regression Forest with Conformal Calibration,"Rapidly evolving market conditions call for real-time risk monitoring, but its online estimation remains challenging. In this paper, we study the online estimation of one of the most widely used risk measures, Value at Risk (VaR). Its accurate and reliable estimation is essential for timely risk control and informed decision-making. We propose to use the quantile regression forest in the offline-simulation-online-estimation (OSOA) framework. Specifically, the quantile regression forest is trained offline to learn the relationship between the online VaR and risk factors, and real-time VaR estimates are then produced online by incorporating observed risk factors. To further ensure reliability, we develop a conformalized estimator that calibrates the online VaR estimates. To the best of our knowledge, we are the first to leverage conformal calibration to estimate real-time VaR reliably based on the OSOA formulation. Theoretical analysis establishes the consistency and coverage validity of the proposed estimators. Numerical experiments confirm the proposed method and demonstrate its effectiveness in practice.",Du-Yi Wang|Guo Liang|Kun Zhang|Qianwen Zhu,,https://arxiv.org/abs/2602.01912v1,https://arxiv.org/pdf/2602.01912v1,,,,,stat.ML,stat.ML|cs.AI|cs.LG|q-fin.RM,https://arxiv.org/pdf/2602.01912v1.pdf
2602.01378v1,2026-02-01T18:25:44Z,2026-02-01 18:25:44,Context Dependence and Reliability in Autoregressive Language Models,"Large language models (LLMs) generate outputs by utilizing extensive context, which often includes redundant information from prompts, retrieved passages, and interaction history. In critical applications, it is vital to identify which context elements actually influence the output, as standard explanation methods struggle with redundancy and overlapping context. Minor changes in input can lead to unpredictable shifts in attribution scores, undermining interpretability and raising concerns about risks like prompt injection. This work addresses the challenge of distinguishing essential context elements from correlated ones. We introduce RISE (Redundancy-Insensitive Scoring of Explanation), a method that quantifies the unique influence of each input relative to others, minimizing the impact of redundancies and providing clearer, stable attributions. Experiments demonstrate that RISE offers more robust explanations than traditional methods, emphasizing the importance of conditional information for trustworthy LLM explanations and monitoring.",Poushali Sengupta|Shashi Raj Pandey|Sabita Maharjan|Frank Eliassen,,https://arxiv.org/abs/2602.01378v1,https://arxiv.org/pdf/2602.01378v1,,,,,cs.CL,cs.CL|cs.AI|stat.ML,https://arxiv.org/pdf/2602.01378v1.pdf
2602.01285v1,2026-02-01T15:34:45Z,2026-02-01 15:34:45,Multi-LLM Adaptive Conformal Inference for Reliable LLM Responses,"Ensuring factuality is essential for the safe use of Large Language Models (LLMs) in high-stakes domains such as medicine and law. Conformal inference provides distribution-free guarantees, but existing approaches are either overly conservative, discarding many true-claims, or rely on adaptive error rates and simple linear models that fail to capture complex group structures. To address these challenges, we reformulate conformal inference in a multiplicative filtering setting, modeling factuality as a product of claim-level scores. Our method, Multi-LLM Adaptive Conformal Inference (MACI), leverages ensembles to produce more accurate factuality-scores, which in our experiments led to higher retention, while validity is preserved through group-conditional calibration. Experiments show that MACI consistently achieves user-specified coverage with substantially higher retention and lower time cost than baselines. Our repository is available at https://github.com/MLAI-Yonsei/MACI",Kangjun Noh|Seongchan Lee|Ilmun Kim|Kyungwoo Song,,https://arxiv.org/abs/2602.01285v1,https://arxiv.org/pdf/2602.01285v1,,Accepted to ICLR 2026,,,cs.LG,cs.LG|cs.AI|stat.ML,https://arxiv.org/pdf/2602.01285v1.pdf
2602.02583v1,2026-01-31T17:51:01Z,2026-01-31 17:51:01,Copula-Based Aggregation and Context-Aware Conformal Prediction for Reliable Renewable Energy Forecasting,"The rapid growth of renewable energy penetration has intensified the need for reliable probabilistic forecasts to support grid operations at aggregated (fleet or system) levels. In practice, however, system operators often lack access to fleet-level probabilistic models and instead rely on site-level forecasts produced by heterogeneous third-party providers. Constructing coherent and calibrated fleet-level probabilistic forecasts from such inputs remains challenging due to complex cross-site dependencies and aggregation-induced miscalibration. This paper proposes a calibrated probabilistic aggregation framework that directly converts site-level probabilistic forecasts into reliable fleet-level forecasts in settings where system-level models cannot be trained or maintained. The framework integrates copula-based dependence modeling to capture cross-site correlations with Context-Aware Conformal Prediction (CACP) to correct miscalibration at the aggregated level. This combination enables dependence-aware aggregation while providing valid coverage and maintaining sharp prediction intervals. Experiments on large-scale solar generation datasets from MISO, ERCOT, and SPP demonstrate that the proposed Copula+CACP approach consistently achieves near-nominal coverage with significantly sharper intervals than uncalibrated aggregation baselines.",Alireza Moradi|Mathieu Tanneau|Reza Zandehshahvar|Pascal Van Hentenryck,,https://arxiv.org/abs/2602.02583v1,https://arxiv.org/pdf/2602.02583v1,,,,,cs.LG,cs.LG|stat.AP,https://arxiv.org/pdf/2602.02583v1.pdf
