id,submitted,updated,title,abstract,authors,affiliations,link_abstract,link_pdf,link_doi,comment,journal_ref,doi,primary_category,categories,pdf_url
2601.12221v1,2026-01-18T01:56:04Z,2026-01-18 01:56:04,A warping function-based control chart for detecting distributional changes in damage-sensitive features for structural condition assessment,"Data-driven damage detection methods achieve damage identification by analyzing changes in damage-sensitive features (DSFs) derived from structural health monitoring (SHM) data. The core reason for their effectiveness lies in the fact that damage or structural state transition can be manifested as changes in the distribution of DSF data. This enables us to reframe the problem of damage detection as one of identifying these distributional changes. Hence, developing automated tools for detecting such changes is pivotal for automated structural health diagnosis. Control charts are extensively utilized in SHM for DSF change detection, owing to their excellent online detection and early warning capabilities. However, conventional methods are primarily designed to detect mean or variance shifts, making it challenging to identify complex shape changes in distributions. This limitation results in insufficient damage detection sensitivity. Moreover, they typically exhibit poor robustness against data contamination. This paper proposes a novel control chart to address these limitations. It employs the probability density functions (PDFs) of subgrouped DSF data as monitoring objects, with shape deformations characterized by warping functions. Furthermore, a nonparametric control chart is specifically constructed for warping function monitoring in the functional data analysis framework. Key advantages of the new method include the ability to detect both shifts and complex shape deformations in distributions, excellent online detection performance, and robustness against data contamination. Extensive simulation studies demonstrate its superiority over competing approaches. Finally, the method is applied to detecting distributional changes in DSF data for cable condition assessment in a long-span cable-stayed bridge, demonstrating its practical utility in engineering.",Zhicheng Chen|Wenyu Chen|Xinyi Lei,,https://arxiv.org/abs/2601.12221v1,https://arxiv.org/pdf/2601.12221v1,,,,,stat.AP,stat.AP,https://arxiv.org/pdf/2601.12221v1.pdf
2601.09968v1,2026-01-15T01:08:12Z,2026-01-15 01:08:12,Derivations for the Cumulative Standardized Binomial EWMA (CSB-EWMA) Control Chart,"This paper presents the exact mathematical derivation of the mean and variance properties for the Exponentially Weighted Moving Average (EWMA) statistic applied to binomial proportion monitoring in Multiple Stream Processes (MSPs). We develop a Cumulative Standardized Binomial EWMA (CSB-EWMA) formulation that provides adaptive control limits based on exact time-varying variance calculations, overcoming the limitations of asymptotic approximations during early-phase monitoring. The derivations are rigorously validated through Monte Carlo simulations, demonstrating remarkable agreement between theoretical predictions and empirical results. This work establishes a theoretical foundation for distribution-free monitoring of binary outcomes across parallel data streams, with applications in statistical process control across diverse domains including manufacturing, healthcare, and cybersecurity.",Faruk Muritala|Austin Brown|Dhrubajyoti Ghosh|Sherry Ni,,https://arxiv.org/abs/2601.09968v1,https://arxiv.org/pdf/2601.09968v1,,,,,stat.ME,stat.ME|stat.AP,https://arxiv.org/pdf/2601.09968v1.pdf
2512.23602v1,2025-12-29T16:56:48Z,2025-12-29 16:56:48,Distribution-Free Process Monitoring with Conformal Prediction,"Traditional Statistical Process Control (SPC) is essential for quality management but is limited by its reliance on often violated statistical assumptions, leading to unreliable monitoring in modern, complex manufacturing environments. This paper introduces a hybrid framework that enhances SPC by integrating the distribution free, model agnostic guarantees of Conformal Prediction. We propose two novel applications: Conformal-Enhanced Control Charts, which visualize process uncertainty and enable proactive signals like 'uncertainty spikes', and Conformal-Enhanced Process Monitoring, which reframes multivariate control as a formal anomaly detection problem using an intuitive p-value chart. Our framework provides a more robust and statistically rigorous approach to quality control while maintaining the interpretability and ease of use of classic methods.",Christopher Burger,,https://arxiv.org/abs/2512.23602v1,https://arxiv.org/pdf/2512.23602v1,,"9 pages, 4 figures",,,cs.LG,cs.LG,https://arxiv.org/pdf/2512.23602v1.pdf
2512.01017v3,2025-11-30T18:28:09Z,2026-01-30 09:29:52,ChartAnchor: Chart Grounding with Structural-Semantic Fidelity,"Recent advances in multimodal large language models (MLLMs) highlight the need for benchmarks that rigorously evaluate structured chart comprehension. Chart grounding refers to the bidirectional alignment between a chart's visual appearance and its structured semantics. This task requires models to produce a symbolic specification that faithfully captures the chart's visual and structural intent, while also recovering the underlying tabular data with precise values and relationships. Chart grounding directly reflects a model's capabilities in numerical reasoning, multimodal alignment, and structural reconstruction, and has several important real-world applications. Existing benchmarks, constrained by narrow chart diversity, isolated tasks, and incomplete evaluation frameworks, fail to holistically assess grounding. To address this, we propose ChartAnchor, a comprehensive benchmark of 8k+ chart-table-code triples spanning 30 chart types drawn from diverse real-world and augmented sources. ChartAnchor introduces two complementary tasks: chart-to-code generation and controlled chart-to-table reconstruction, enabling cross-validation of visual and numerical fidelity. A multi-level evaluation framework integrates semantic validation, stylistic analysis, and perceptual metrics to assess both structural and content-level correctness. Extensive experiments on MLLMs reveal critical limitations in numerical precision and code synthesis, emphasizing the need for structured reasoning beyond surface-level perception. By unifying symbolic and data-driven grounding, ChartAnchor establishes a rigorous foundation for chart grounding, offering meaningful insights for advancing MLLMs in scientific, financial, and industrial domains.",Xinhang Li|Jingbo Zhou|Pengfei Luo|Yixiong Xiao|Tong Xu,,https://arxiv.org/abs/2512.01017v3,https://arxiv.org/pdf/2512.01017v3,,,,,cs.AI,cs.AI,https://arxiv.org/pdf/2512.01017v3.pdf
2511.13672v1,2025-11-17T18:24:29Z,2025-11-17 18:24:29,Phase I Distribution-Free Control Charts for Individual Observations Using Runs and Patterns,"Phase I distribution-free runs- and patterns-type control charts are proposed for monitoring the unknown target value (or location parameter) for both continuous and discrete individual observations. Our approach maintains the nominal in-control signal probability at a prescribed level by employing the finite Markov chain imbedding technique combined with random permutation and conditioning arguments. To elucidate the methodology, we examine two popular runs- and patterns-type statistics: the number of success runs and the scan statistic. Numerical results indicate that the performance of our proposed control charts is comparable to that of existing Phase I nonparametric control charts for individual observations.",Tung-Lung Wu,,https://arxiv.org/abs/2511.13672v1,https://arxiv.org/pdf/2511.13672v1,,,,,stat.AP,stat.AP,https://arxiv.org/pdf/2511.13672v1.pdf
2510.11740v1,2025-10-10T20:38:35Z,2025-10-10 20:38:35,Monitoring 3D Lattice Structures in Additive Manufacturing Using Topological Data Analysis,"We present a new method for the statistical process control of lattice structures using tools from Topological Data Analysis. Motivated by applications in additive manufacturing, such as aerospace components and biomedical implants, where hollow lattice geometries are critical, the proposed framework is based on monitoring the persistent homology properties of parts. Specifically, we focus on homological features of dimensions zero and one, corresponding to connected components and one-dimensional loops, to characterize and detect changes in the topology of lattice structures. A nonparametric hypothesis testing procedure and a control charting scheme are introduced to monitor these features during production. Furthermore, we conduct extensive run-length analysis via various simulated but real-life lattice-structured parts. Our results demonstrate that persistent homology is well-suited for detecting topological anomalies in complex geometries and offers a robust, intrinsically geometrical alternative to other SPC methods for mesh and point data.",Yulin An|Xueqi Zhao|Enrique del Castillo,,https://arxiv.org/abs/2510.11740v1,https://arxiv.org/pdf/2510.11740v1,,"22 pages, 13 figures, 12 tables",,,stat.ME,stat.ME|stat.AP,https://arxiv.org/pdf/2510.11740v1.pdf
2510.05086v1,2025-10-06T17:54:53Z,2025-10-06 17:54:53,On Improvement of Control Chart using Repetitive Sampling for Monitoring Process Mean,"In the practical industry, the most commonly used application of statistical analysis for monitoring the process mean is the control chart. Control charts are generated based on the presumption that we have a sample from a stable process. The control chart then provides a graphical display to test this presumption. In the existing estimator \textcolor{red}{$Mr$}, researchers use a technique involving repetitive sampling along with an auxiliary variable for detecting and monitoring the statistical process mean. The existing control chart, namely \textcolor{red}{$Mr$}, is based on the regression estimator of the mean using a single auxiliary variable $X$. We propose the \textcolor{red}{$Mrep$} chart using a ratio-product exponential type estimator, and the \textcolor{red}{$Mrwp$} chart with a more efficient difference-cum-exponential type estimator used in quality control for improving the process mean in terms of $ARL$. Then we compare the proposed charts \textcolor{red}{$Mrep$} and \textcolor{red}{$Mrwp$} with the existing \textcolor{red}{$Mr$} chart in terms of $ARL$. Using $ARL$ as a performance measure, better results of the proposed charts are observed for detecting shifts in the mean level of the characteristic of interest. Moreover, Monte Carlo simulation in terms of repetitive sampling is used for quality control charting and statistical process control for the betterment of the process mean.",Fahad Rafique|Saadia Masood|Shabbir Ahmad|Sadaf Amin,,https://arxiv.org/abs/2510.05086v1,https://arxiv.org/pdf/2510.05086v1,,"17 pages, 32 fiures",,,math.OC,math.OC,https://arxiv.org/pdf/2510.05086v1.pdf
2509.19820v1,2025-09-24T07:02:39Z,2025-09-24 07:02:39,High-Dimensional Statistical Process Control via Manifold Fitting and Learning,"We address the Statistical Process Control (SPC) of high-dimensional, dynamic industrial processes from two complementary perspectives: manifold fitting and manifold learning, both of which assume data lies on an underlying nonlinear, lower dimensional space. We propose two distinct monitoring frameworks for online or 'phase II' Statistical Process Control (SPC). The first method leverages state-of-the-art techniques in manifold fitting to accurately approximate the manifold where the data resides within the ambient high-dimensional space. It then monitors deviations from this manifold using a novel scalar distribution-free control chart. In contrast, the second method adopts a more traditional approach, akin to those used in linear dimensionality reduction SPC techniques, by first embedding the data into a lower-dimensional space before monitoring the embedded observations. We prove how both methods provide a controllable Type I error probability, after which they are contrasted for their corresponding fault detection ability. Extensive numerical experiments on a synthetic process and on a replicated Tennessee Eastman Process show that the conceptually simpler manifold-fitting approach achieves performance competitive with, and sometimes superior to, the more classical lower-dimensional manifold monitoring methods. In addition, we demonstrate the practical applicability of the proposed manifold-fitting approach by successfully detecting surface anomalies in a real image dataset of electrical commutators.",Burak I. Tas|Enrique del Castillo,,https://arxiv.org/abs/2509.19820v1,https://arxiv.org/pdf/2509.19820v1,,,,,stat.ML,stat.ML|cs.LG|stat.AP,https://arxiv.org/pdf/2509.19820v1.pdf
2509.19652v1,2025-09-24T00:13:58Z,2025-09-24 00:13:58,Quality-Ensured In-Situ Process Monitoring with Deep Canonical Correlation Analysis,"This paper proposes a deep learning-based approach for in-situ process monitoring that captures nonlinear relationships between in-control high-dimensional process signature signals and offline product quality data. Specifically, we introduce a Deep Canonical Correlation Analysis (DCCA)-based framework that enables the joint feature extraction and correlation analysis of multi-modal data sources, such as optical emission spectra and CT scan images, which are collected in advanced manufacturing processes. This unified framework facilitates online quality monitoring by learning quality-oriented representations without requiring labeled defective samples and avoids the non-normality issues that often degrade traditional control chart-based monitoring techniques. We provide theoretical guarantees for the method's stability and convergence and validate its effectiveness and practical applicability through simulation experiments and a real-world case study on Direct Metal Deposition (DMD) additive manufacturing.",Xiaoyang Song|Wenbo Sun|Metin Kayitmazbatir| Jionghua| Jin,Judy|Judy|Judy|Judy|,https://arxiv.org/abs/2509.19652v1,https://arxiv.org/pdf/2509.19652v1,,,,,stat.AP,stat.AP,https://arxiv.org/pdf/2509.19652v1.pdf
2509.03304v1,2025-09-03T13:30:27Z,2025-09-03 13:30:27,Exponentially weighted moving average chart using zero-inflated negative binomial distribution,"Zero-inflated models are frequently used to deal with data having many zeros. A commonly used model for over-dispersed data containing zeros is known as the zero-inflated Poisson model. However, to account for the heterogeneity of counts that leads to excess variance besides inflation of zeros in the data using a more flexible model than the zero-inflated Poisson model, a zero-inflated negative binomial (ZINB) is suggested. In the present study, Shewhart and exponentially weighted moving average (EWMA) control charts are suggested to monitor the ZINB data. The charts are compared using the average run length and standard deviation of run length by using extensive Monte Carlo simulations. Besides a comprehensive simulation study assuming different settings of parameters of ZINB, a real data set is used to show the practicality of the proposed charts. The results indicate that the EWMA chart is better than the Shewhart chart.",Ali Abbas|Sajid Ali|Ismail Shah,,https://arxiv.org/abs/2509.03304v1,https://arxiv.org/pdf/2509.03304v1,https://doi.org/10.1080/00949655.2024.2385014,Journal of Statistical Computation and Simulation (2024),,10.1080/00949655.2024.2385014,stat.ME,stat.ME|stat.AP,https://arxiv.org/pdf/2509.03304v1.pdf
